arm_id,config_hash,input_hash,state_hash,prior_state_hash,fixture_id,repair_budget,repair_strategy,expected_code_count,expected_codes,observed_error_count,observed_codes,valid,expected_status,final_status,replay_passed,state_changed,atomic_state_passed,final_state_hash,passed
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,8319d7243582ec7f921be585861da05c8cb8e0a8b368ef7a8647a031f12d59bf,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-valid-control,0,none,0,,0,,true,commit,commit,true,true,true,fd48187242b43051c1a5834287c0ff143edf86b59f4d794c50b7b9755d718609,true
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,b593778c675dc8d0aa22234d1102348e0e5a93f4e872582a5aaf00b4fc4e15f7,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-unknown-action,0,none,1,UNKNOWN_ACTION_TYPE,1,UNKNOWN_ACTION_TYPE,false,fallback,fallback,true,false,true,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,6f31258ae3d2138865a2fa32dc36e8ea7bdc40660d4c99ff50c02721939b4c9b,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-policy-stage-effect-violation,0,none,1,POLICY_QUEST_STAGE_EFFECT_VIOLATION,1,POLICY_QUEST_STAGE_EFFECT_VIOLATION,false,fallback,fallback,true,false,true,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,91f030a610559322f37fd7d2ada06bfcb083c0b66bb869478309c0f7ee36816a,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-policy-precondition-omission,0,none,1,POLICY_PRECONDITION_OMISSION,1,POLICY_PRECONDITION_OMISSION,false,fallback,fallback,true,false,true,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,1fb6830ac17547a20902b347b8419fc9773c2834faadd1036591760251dca07f,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-policy-effect-omission,0,none,1,POLICY_EFFECT_OMISSION,1,POLICY_EFFECT_OMISSION,false,fallback,fallback,true,false,true,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,db9c1c5ac8c76d4603304fa58c57adacf73225a095e4c41426558edcd87bc9be,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-policy-effect-violation,0,none,1,POLICY_EFFECT_VIOLATION,1,POLICY_EFFECT_VIOLATION,false,fallback,fallback,true,false,true,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,29a359180dbd0b93b4d9585ec3d62243e4da9ac9daf5c879a8435ba406a3caae,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-unsatisfied-precondition,0,none,1,UNSATISFIED_PRECONDITION,1,UNSATISFIED_PRECONDITION,false,fallback,fallback,true,false,true,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,15cdc2e8de949e394123f929ed4edae45ebc37cab9d98c897147fb95ec29b850,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-unreachable-object,0,none,1,UNREACHABLE_REQUIRED_OBJECT,1,UNREACHABLE_REQUIRED_OBJECT,false,fallback,fallback,true,false,true,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,e8d5d887e236226345734fa233079f92316301e4091df5ebe7e82dd340a0fba9,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-npc-knowledge,0,none,1,NPC_KNOWLEDGE_VIOLATION,1,NPC_KNOWLEDGE_VIOLATION,false,fallback,fallback,true,false,true,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true
gate_validation_k0,6dcbdd4020fbb9f6b5dc52ab90f9a5e1e444c297ead1f507219333c647c4521a,faf771c24b034ab34fc7551ce31297287337e0213e7fa99ac624bc7c929d2ec4,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,gate-disclosure-knowledge,0,none,1,NPC_DISCLOSURE_KNOWLEDGE_VIOLATION,1,NPC_DISCLOSURE_KNOWLEDGE_VIOLATION,false,fallback,fallback,true,false,true,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true
